"Run","subFuncID","AIC","BIC"
12,29,-900.652547677963,-852.601607136761
12,30,-900.206250941629,-852.155310400427
12,31,-896.326240221525,-836.262564545023
13,1,-870.707739059325,-858.695003924025
13,2,-873.149501227782,-861.136766092481
13,3,-872.662158569421,-848.63668829882
13,4,-873.112051011711,-861.09931587641
13,5,-873.425178424704,-849.399708154103
13,6,-870.839013167952,-846.813542897351
13,7,-871.934179262103,-835.895973856201
13,8,-859.024771517193,-847.012036381893
13,9,-874.079611032813,-850.054140762212
13,10,-874.05317252076,-850.027702250159
13,11,-871.761329485983,-835.723124080081
13,12,-874.253509180402,-850.228038909801
13,13,-871.554276918977,-835.516071513075
13,14,-871.748753661199,-835.710548255298
13,15,-869.673533349492,-821.62259280829
13,16,-795.761041184266,-783.748306048966
13,17,-874.991504861867,-850.966034591266
13,18,-873.587758495799,-849.562288225198
13,19,-871.525696408514,-835.487491002613
13,20,-874.231213326246,-850.205743055645
13,21,-871.384309340229,-835.346103934328
13,22,-871.161597119088,-835.123391713186
13,23,-869.945488923276,-821.894548382074
13,24,-871.310737823212,-847.285267552611
13,25,-871.323555065528,-835.285349659626
13,26,-872.14503442322,-836.106829017318
13,27,-870.501187746638,-822.450247205436
13,28,-871.872029222694,-835.833823816792
13,29,-870.679142346648,-822.628201805446
13,30,-870.500866132123,-822.449925590921
13,31,-866.500041641395,-806.436365964893
14,1,-796.216618477704,-784.203883342404
14,2,-802.295865418873,-790.283130283572
14,3,-800.935418332248,-776.909948061647
14,4,-803.200346407953,-791.187611272653
14,5,-801.492706986228,-777.467236715627
14,6,-800.714854647989,-776.689384377388
14,7,-800.439314483327,-764.401109077425
14,8,-793.547711446015,-781.534976310714
14,9,-801.99461133112,-777.969141060519
14,10,-803.460559452603,-779.435089182002
14,11,-800.904787585914,-764.866582180013
14,12,-802.726287452389,-778.700817181788
14,13,-801.207730685756,-765.169525279855
14,14,-800.667836439157,-764.629631033255
14,15,-796.974307153527,-748.923366612325
14,16,-737.861373231061,-725.84863809576
14,17,-802.847457699706,-778.821987429105
14,18,-803.928871143668,-779.903400873067
14,19,-801.449477383318,-765.411271977416
14,20,-803.746579632441,-779.72110936184
14,21,-801.527685679051,-765.489480273149
14,22,-800.535739582691,-764.497534176789
14,23,-798.224378527425,-750.173437986223
14,24,-802.775438148805,-778.749967878204
14,25,-801.505306949997,-765.467101544095
14,26,-802.28334447067,-766.245139064769
14,27,-798.336149287631,-750.285208746429
14,28,-801.738359608401,-765.700154202499
14,29,-798.445564661845,-750.394624120643
14,30,-798.32778940726,-750.276848866058
14,31,-794.330803167031,-734.267127490529
15,1,-775.447508270016,-763.434773134715
15,2,-780.23239312107,-768.219657985769
15,3,-780.136254382004,-756.110784111404
15,4,-782.018991409761,-770.00625627446
15,5,-780.637083606799,-756.611613336199
15,6,-781.122429075313,-757.096958804712
15,7,-777.972413093751,-741.934207687849
15,8,-773.651841783015,-761.639106647715
15,9,-780.904496552082,-756.879026281481
15,10,-778.371980047319,-754.346509776718
15,11,-778.026537604518,-741.988332198617
15,12,-780.066922662261,-756.04145239166
15,13,-777.798872701327,-741.760667295425
15,14,-777.933524449263,-741.895319043362
15,15,-774.036484083038,-725.985543541836
15,16,-723.689679374496,-711.676944239196
15,17,-780.929311776541,-756.90384150594
15,18,-777.902650191698,-753.877179921097
15,19,-778.258135876394,-742.219930470492
15,20,-779.390945114353,-755.365474843752
15,21,-778.442119462583,-742.403914056681
15,22,-776.915356596651,-740.87715119075
15,23,-775.22436797362,-727.173427432418
15,24,-776.633937913582,-752.608467642981
15,25,-778.649648420517,-742.611443014616
15,26,-778.235014930249,-742.196809524347
15,27,-775.382478569495,-727.331538028293
15,28,-778.898592527818,-742.860387121916
15,29,-775.438637062841,-727.387696521639
15,30,-775.424341454142,-727.37340091294
15,31,-771.380371548991,-711.316695872488
16,1,-815.208353147971,-803.195618012671
16,2,-816.606459595162,-804.593724459862
16,3,-814.903776956947,-790.878306686346
16,4,-816.917876243549,-804.905141108248
16,5,-814.607494414932,-790.582024144331
16,6,-813.038483993994,-789.013013723393
16,7,-811.672871518963,-775.634666113062
16,8,-800.423123188595,-788.410388053294
16,9,-814.272894075427,-790.247423804826
16,10,-815.580836593507,-791.555366322906
16,11,-811.581758858201,-775.5435534523
16,12,-815.087789972524,-791.062319701923
16,13,-811.479993704708,-775.441788298807
16,14,-811.585844698347,-775.547639292445
16,15,-808.313092765762,-760.26215222456
16,16,-727.437348067108,-715.424612931807
16,17,-813.588646289006,-789.563176018405
16,18,-815.374400285308,-791.348930014707
16,19,-811.437881007353,-775.399675601452
16,20,-815.260498394771,-791.23502812417
16,21,-811.326486299115,-775.288280893213
16,22,-811.409432328312,-775.371226922411
16,23,-808.064585861255,-760.013645320053
16,24,-814.362177403078,-790.336707132477
16,25,-811.202524528878,-775.164319122977
16,26,-811.846255411452,-775.808050005551
16,27,-807.963573715867,-759.912633174665
16,28,-811.309700016928,-775.271494611027
16,29,-807.592396422299,-759.541455881097
16,30,-807.969243235393,-759.918302694192
16,31,-803.966129431982,-743.90245375548
17,1,-791.325544028547,-779.312808893246
17,2,-795.692043679734,-783.679308544433
17,3,-793.203941817159,-769.178471546558
17,4,-797.216592586354,-785.203857451054
17,5,-793.943826949199,-769.918356678598
17,6,-795.887304832456,-771.861834561856
17,7,-790.910102696443,-754.871897290542
17,8,-787.901951617887,-775.889216482587
17,9,-794.554320744257,-770.528850473656
17,10,-792.829899973875,-768.804429703274
17,11,-791.98886124378,-755.950655837879
17,12,-793.972142211952,-769.946671941351
17,13,-791.732629299719,-755.694423893817
17,14,-791.96211525991,-755.923909854009
17,15,-787.991250300558,-739.940309759356
17,16,-735.548952297828,-723.536217162528
17,17,-795.340419539162,-771.314949268561
17,18,-792.895521629729,-768.870051359128
17,19,-791.915686770825,-755.877481364923
17,20,-794.036776699996,-770.011306429395
17,21,-791.878108419255,-755.839903013353
17,22,-791.955458396669,-755.917252990767
17,23,-787.953379904032,-739.90243936283
17,24,-791.545386216916,-767.519915946315
17,25,-791.83146644797,-755.793261042069
17,26,-790.457229450126,-754.419024044225
17,27,-788.003736408808,-739.952795867606
17,28,-791.705245512353,-755.667040106452
17,29,-787.99950404465,-739.948563503448
17,30,-787.986107271243,-739.935166730041
17,31,-784.007140242526,-723.943464566024
18,1,-853.063243038915,-841.050507903615
18,2,-847.916080519941,-835.903345384641
18,3,-851.250234804825,-827.224764534224
18,4,-850.673467540739,-838.660732405439
18,5,-851.257313170361,-827.231842899761
18,6,-853.443391395667,-829.417921125066
18,7,-849.937844320868,-813.899638914967
18,8,-832.509372379546,-820.496637244246
18,9,-851.34989173885,-827.324421468249
18,10,-846.305851119521,-822.28038084892
18,11,-850.259732116963,-814.221526711061
18,12,-849.742863824684,-825.717393554084
18,13,-850.528234318783,-814.490028912881
18,14,-849.875575623215,-813.837370217314
18,15,-846.363389300063,-798.312448758861
18,16,-764.2653750747,-752.252639939399
18,17,-851.813868620283,-827.788398349682
18,18,-845.610224881712,-821.584754611111
18,19,-850.963989218405,-814.925783812504
18,20,-848.272744674807,-824.247274404206
18,21,-851.197189245853,-815.158983839952
18,22,-849.720303004475,-813.682097598573
18,23,-848.972995822944,-800.922055281742
18,24,-842.618254600776,-818.592784330175
18,25,-851.448408976378,-815.410203570477
18,26,-844.824030987007,-808.785825581106
18,27,-849.463272082922,-801.41233154172
18,28,-852.132295559481,-816.09409015358
18,29,-849.65407476006,-801.603134218858
18,30,-849.506702316061,-801.455761774859
18,31,-846.514921915823,-786.451246239321
19,1,-897.868611317513,-885.855876182213
19,2,-895.09881251988,-883.08607738458
19,3,-897.399219372361,-873.37374910176
19,4,-894.933546066136,-882.920810930835
19,5,-896.712183089565,-872.686712818964
19,6,-891.686441216609,-867.660970946008
19,7,-895.483512886911,-859.44530748101
19,8,-873.15467234008,-861.141937204779
19,9,-896.07622859703,-872.050758326429
19,10,-896.719641820703,-872.694171550102
19,11,-895.536987535889,-859.498782129988
19,12,-896.269743815115,-872.244273544514
19,13,-895.521972884673,-859.483767478771
19,14,-895.441618002814,-859.403412596913
19,15,-891.554355747222,-843.50341520602
19,16,-787.888444788906,-775.875709653605
19,17,-895.032993367105,-871.007523096504
19,18,-896.163084979975,-872.137614709374
19,19,-895.585140539871,-859.546935133969
19,20,-895.851761338691,-871.82629106809
19,21,-895.47533879442,-859.437133388519
19,22,-895.368591415006,-859.330386009105
19,23,-891.588938905491,-843.537998364289
19,24,-894.011979037548,-869.986508766947
19,25,-895.329587895803,-859.291382489901
19,26,-894.430123536961,-858.391918131059
19,27,-891.587606306681,-843.536665765479
19,28,-895.144806496852,-859.10660109095
19,29,-891.564178872796,-843.513238331594
19,30,-891.54889891602,-843.497958374818
19,31,-887.615872552861,-827.552196876359
20,1,-795.369841505463,-783.357106370163
20,2,-792.494295822934,-780.481560687633
20,3,-793.314187857357,-769.288717586756
20,4,-793.675369871765,-781.662634736464
20,5,-793.100903878982,-769.075433608381
20,6,-792.372214648131,-768.34674437753
20,7,-790.090839491965,-754.052634086064
20,8,-774.894988536653,-762.882253401353
20,9,-792.958555607896,-768.933085337295
20,10,-792.10293285615,-768.077462585549
20,11,-789.848113829972,-753.80990842407
20,12,-793.057364786908,-769.031894516307
20,13,-789.539505280401,-753.501299874499
20,14,-789.907986471601,-753.869781065699
20,15,-788.412458424163,-740.361517882961
20,16,-702.424796566337,-690.412061431036
20,17,-792.868359117425,-768.842888846824
20,18,-791.589154567523,-767.563684296922
20,19,-789.508241089919,-753.470035684018
20,20,-792.50017300727,-768.474702736669
20,21,-789.214772254088,-753.176566848186
20,22,-789.745389251975,-753.707183846073
20,23,-788.756375248961,-740.705434707759
20,24,-789.518128696014,-765.492658425413
20,25,-789.020453002969,-752.982247597067
20,26,-789.615123481332,-753.57691807543
20,27,-789.060490330587,-741.009549789385
20,28,-789.453348775489,-753.415143369588
20,29,-789.50406113954,-741.453120598338
20,30,-789.038920921658,-740.987980380456
20,31,-785.049816021561,-724.986140345058
21,1,-797.070977535123,-785.058242399822
21,2,-799.538912333751,-787.52617719845
21,3,-798.04041347805,-774.014943207449
21,4,-800.616240417692,-788.603505282392
21,5,-798.255418064429,-774.229947793828
21,6,-797.600144106352,-773.574673835751
21,7,-796.155808787044,-760.117603381142
21,8,-786.705774139249,-774.693039003949
